Page,Label,Daily_Sched,Daily_Prod,Daily_Delta,WTD_Sched,WTD_Prod,WTD_Delta,MTD_Sched,MTD_Prod,MTD_Delta,MTD_Adh%,OLK,OLK_Adh%
PROJECT,BJA,1009,600.00,-409.00,5046,2720.00,-2326.00,5046,2720.00,-2326.00,-46.1,3000,90.7
PROJECT,CDPO,1653,2156.00,503.00,8267,8848.00,581.00,8267,8848.00,581.00,7.0,23814,37.2
PROJECT,CV,1712,2216.00,504.00,8562,8850.00,288.00,8562,8850.00,288.00,3.4,0,0.0
PROJECT,JLR,160,240.00,80.00,802,1110.00,308.00,802,1110.00,308.00,38.4,1728,64.2
PROJECT,KIA,211,386.00,175.00,1057,1695.00,638.00,1057,1695.00,638.00,60.4,2518,67.3
PROJECT,LUCENEC,2498,2581.00,83.00,12494,10461.00,-2033.00,12494,10461.00,-2033.00,-16.3,0,0.0
PROJECT,MMA,9577,11375.00,1798.00,47885,44922.00,-2963.00,47885,44922.00,-2963.00,-6.2,124939,36.0
PROJECT,OPEL,544,982.00,438.00,2720,3466.00,746.00,2720,3466.00,746.00,27.4,5160,67.2
PROJECT,PIP,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,,0,0.0
PROJECT,PZ1D,0,90.00,90.00,0,310.00,310.00,0,310.00,310.00,,11,2818.2
PROJECT,VOLVO,4717,6024.00,1307.00,23589,22205.00,-1384.00,23589,22205.00,-1384.00,-5.9,73538,30.2
SEW,BR223,556,640.00,84.00,2781,2663.00,-118.00,2781,2663.00,-118.00,-4.2,13325,20.0
SEW,FIAT,1256,1209.00,-47.00,6284,5572.00,-712.00,6284,5572.00,-712.00,-11.3,23674,23.5
SEW,PO426,685,732.00,47.00,3429,2226.00,-1203.00,3429,2226.00,-1203.00,-35.1,8331,26.7
SEW,PIP,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,,0,0.0
SEW,CDPO - SEW,807,1040.00,233.00,4036,3892.00,-144.00,4036,3892.00,-144.00,-3.6,23814,16.3
SEW,PZ1D,0,90.00,90.00,0,310.00,310.00,0,310.00,310.00,,11,2818.2
SEW,MAN,856,1056.00,200.00,4284,4452.00,168.00,4284,4452.00,168.00,3.9,17332,25.7
SEW,SCANIA,376,560.00,184.00,1880,1918.00,38.00,1880,1918.00,38.00,2.0,7486,25.6
SEW,RENAULT,479,600.00,121.00,2398,2480.00,82.00,2398,2480.00,82.00,3.4,7412,33.5
SEW,BJA,1009,600.00,-409.00,5046,2720.00,-2326.00,5046,2720.00,-2326.00,-46.1,3000,90.7
SEW,KIA - SEW,129,230.00,101.00,646,710.00,64.00,646,710.00,64.00,9.9,2518,28.2
SEW,JLR - SEW,79,112.00,33.00,396,406.00,10.00,396,406.00,10.00,2.5,1728,23.5
SEW,MMA - SEW,4584,5514.00,930.00,22920,20719.00,-2201.00,22920,20719.00,-2201.00,-9.6,124939,16.6
SEW,Opel - SEW,265,430.00,165.00,1329,1750.00,421.00,1329,1750.00,421.00,31.7,5160,33.9
SEW,Volvo - SEW,1447,2080.00,633.00,7238,6745.00,-493.00,7238,6745.00,-493.00,-6.8,73538,9.2
ASSY,Volvo - ASSY,3270,3944.00,674.00,16351,15460.00,-891.00,16351,15460.00,-891.00,-5.4,73538,21.0
ASSY,KIA - ASSY,82,156.00,74.00,411,985.00,574.00,411,985.00,574.00,139.7,2518,39.1
ASSY,CDPO - ASSY,846,1116.00,270.00,4231,4956.00,725.00,4231,4956.00,725.00,17.1,23814,20.8
ASSY,JLR - ASSY,81,128.00,47.00,406,704.00,298.00,406,704.00,298.00,73.4,1728,40.7
ASSY,MMA - ASSY,4993,5861.00,868.00,24965,24203.00,-762.00,24965,24203.00,-762.00,-3.1,124939,19.4
ASSY,Opel - ASSY,278,552.00,274.00,1391,1716.00,325.00,1391,1716.00,325.00,23.4,5160,33.3
