Label,2026-02-01,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-07,2026-02-08,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-14,2026-02-15,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-21,2026-02-22,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27,2026-02-28
BJA,0.00,1119.00,1118.00,1118.00,1118.00,1118.00,0.00,0.00,1364.00,1364.00,1364.00,1363.00,1363.00,0.00,0.00,819.00,818.00,818.00,818.00,818.00,0.00,0.00,328.00,327.00,327.00,327.00,327.00,0.00
BR223,0.00,481.00,481.00,480.00,480.00,480.00,0.00,0.00,492.00,491.00,491.00,491.00,491.00,0.00,0.00,364.00,364.00,364.00,364.00,364.00,0.00,0.00,750.00,749.00,749.00,749.00,749.00,0.00
CDPO - SEW,0.00,1009.00,1009.00,1009.00,1009.00,1009.00,0.00,0.00,1198.00,1198.00,1198.00,1198.00,1198.00,0.00,0.00,730.00,730.00,729.00,729.00,729.00,0.00,0.00,1230.00,1230.00,1229.00,1229.00,1229.00,0.00
FIAT,0.00,1301.00,1300.00,1300.00,1300.00,1300.00,0.00,0.00,1518.00,1518.00,1518.00,1517.00,1517.00,0.00,0.00,911.00,911.00,910.00,910.00,910.00,0.00,0.00,1518.00,1518.00,1518.00,1517.00,1517.00,0.00
JLR - SEW,0.00,99.00,99.00,99.00,99.00,99.00,0.00,0.00,99.00,99.00,99.00,99.00,99.00,0.00,0.00,60.00,60.00,59.00,59.00,59.00,0.00,0.00,99.00,99.00,99.00,99.00,99.00,0.00
KIA - SEW,0.00,162.00,162.00,162.00,161.00,161.00,0.00,0.00,162.00,162.00,162.00,161.00,161.00,0.00,0.00,97.00,97.00,97.00,97.00,97.00,0.00,0.00,154.00,154.00,154.00,154.00,153.00,0.00
MAN,0.00,536.00,536.00,536.00,535.00,535.00,0.00,0.00,536.00,536.00,536.00,535.00,535.00,0.00,0.00,322.00,322.00,321.00,321.00,321.00,0.00,0.00,536.00,536.00,536.00,535.00,535.00,0.00
MMA - SEW,0.00,5704.00,5704.00,5703.00,5703.00,5703.00,0.00,0.00,5859.00,5859.00,5859.00,5858.00,5858.00,0.00,0.00,3559.00,3559.00,3558.00,3558.00,3558.00,0.00,0.00,6235.00,6234.00,6234.00,6234.00,6234.00,0.00
Opel - SEW,0.00,333.00,333.00,332.00,332.00,332.00,0.00,0.00,333.00,333.00,332.00,332.00,332.00,0.00,0.00,200.00,200.00,199.00,199.00,199.00,0.00,0.00,333.00,333.00,332.00,332.00,332.00,0.00
P13A,0.00,245.00,244.00,244.00,244.00,244.00,0.00,0.00,709.00,708.00,708.00,708.00,708.00,0.00,0.00,484.00,484.00,483.00,483.00,483.00,0.00,0.00,904.00,904.00,903.00,903.00,903.00,0.00
PO426,0.00,802.00,801.00,801.00,801.00,801.00,0.00,0.00,655.00,655.00,655.00,655.00,654.00,0.00,0.00,393.00,393.00,393.00,393.00,392.00,0.00,0.00,655.00,655.00,655.00,655.00,654.00,0.00
PZ1D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,80.00,79.00,79.00,79.00,0.00,0.00,139.00,138.00,138.00,138.00,138.00,0.00
RENAULT,0.00,300.00,300.00,300.00,300.00,299.00,0.00,0.00,300.00,300.00,300.00,300.00,299.00,0.00,0.00,180.00,180.00,180.00,180.00,180.00,0.00,0.00,300.00,300.00,300.00,300.00,299.00,0.00
SCANIA,0.00,235.00,235.00,235.00,235.00,234.00,0.00,0.00,240.00,240.00,240.00,240.00,239.00,0.00,0.00,137.00,137.00,137.00,137.00,137.00,0.00,0.00,231.00,231.00,231.00,231.00,230.00,0.00
Volvo - SEW,0.00,1235.00,1234.00,1234.00,1234.00,1234.00,0.00,0.00,2048.00,2048.00,2048.00,2048.00,2048.00,0.00,0.00,1321.00,1321.00,1321.00,1321.00,1320.00,0.00,0.00,2236.00,2236.00,2236.00,2236.00,2236.00,0.00

